id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,face_missing,mood_missing,sleep_missing,time_enc,quality_enc,amb_cafe,amb_forest,amb_mountain,amb_ocean,amb_rain,face_enc,mood_enc,sleep_deficit,low_sleep_flag,stress_energy_ratio,stress_energy_product,net_wellbeing,contradiction_flag,productivity_proxy,text_len,text_quality_flag,text_clean
11,"The rain sounds were nice, but I still feel unsettled and fidgety. Part of me wants to do everything at once.",rain,12,6.5,3,3,afternoon,mixed,none,conflicted,restless,4,0,0,0,2,1,False,False,False,False,True,3,2,1.5,0,0.9966777408637875,9,0,0,11.960132890365449,21,0,the rain sounds were nice but i still feel unsettled and fidgety part of me wants to do everything at once
12,I feel mentally clear after the mountain session and ready to tackle one thing at a time.,mountain,12,5.5,3,2,morning,restless,neutral_face,clear,focused,4,0,0,0,1,2,False,False,True,False,False,2,5,2.5,0,0.6644518272425249,6,1,0,17.910447761194032,17,0,i feel mentally clear after the mountain session and ready to tackle one thing at a time
13,"The forest session made me calmer, but part of me still feels uneasy. Part of me wants rest, part of me wants action.",forest,20,5.0,2,2,afternoon,neutral,none,conflicted,mixed,2,0,0,0,2,1,False,True,False,False,False,3,3,3.0,0,0.9950248756218907,4,0,0,19.900497512437813,23,0,the forest session made me calmer but part of me still feels uneasy part of me wants rest part of me wants action
14,"The cafe session helped a little, though I still feel pulled in too many directions. Part of me wants to do everything at once.",cafe,12,6.0,3,5,early_morning,mixed,none,clear,restless,4,0,0,0,0,2,True,False,False,False,False,3,2,2.0,0,1.6611295681063125,15,-2,0,7.185628742514971,24,0,the cafe session helped a little though i still feel pulled in too many directions part of me wants to do everything at once
15,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",mountain,8,8.0,3,3,night,overwhelmed,calm_face,clear,calm,2,0,0,0,4,2,False,False,True,False,False,0,4,0.0,0,0.9966777408637875,9,0,0,7.9734219269103,19,0,i feel lighter after the mountain sounds like my mind finally softened i think i can start gently today
16,"I came in distracted, but I left the forest session with a sharper mind. It feels easier to make a plan now.",forest,15,6.0,3,1,early_morning,neutral,neutral_face,vague,focused,2,0,0,1,0,0,False,True,False,False,False,2,3,2.0,0,0.33222591362126247,3,2,0,44.554455445544555,22,0,i came in distracted but i left the forest session with a sharper mind it feels easier to make a plan now
17,"The forest session made me calmer, but part of me still feels uneasy. I feel better and not better at the same time. I can't tell if I need rest or momentum.",forest,35,6.0,2,3,night,unknown,calm_face,vague,mixed,3,0,1,0,4,0,False,True,False,False,False,0,6,2.0,0,1.492537313432836,6,-1,0,23.255813953488374,32,0,the forest session made me calmer but part of me still feels uneasy i feel better and not better at the same time i can t tell if i need rest or momentum
18,"The mountain session gave me a pause, but the pressure is still sitting hard on me. I'm carrying too much in my head.",mountain,15,5.5,3,5,early_morning,overwhelmed,tired_face,vague,overwhelmed,4,0,0,0,0,0,False,False,True,False,False,5,4,2.5,0,1.6611295681063125,15,-2,0,8.982035928143713,23,0,the mountain session gave me a pause but the pressure is still sitting hard on me i m carrying too much in my head
19,I feel mentally clear after the mountain session and ready to tackle one thing at a time. I should begin with the hardest task first.,mountain,8,7.5,3,2,night,focused,neutral_face,clear,focused,4,0,0,0,4,2,False,False,True,False,False,2,1,0.5,0,0.6644518272425249,6,1,0,11.940298507462687,25,0,i feel mentally clear after the mountain session and ready to tackle one thing at a time i should begin with the hardest task first
20,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic. idk.",ocean,15,7.0,4,2,afternoon,calm,tense_face,clear,focused,2,0,0,0,2,2,False,False,False,True,False,4,0,1.0,0,0.49875311720698257,8,2,0,29.85074626865672,21,0,i started scattered but the ocean session helped me lock in on what matters my to do list feels less chaotic idk
21,"The mountain session made me calmer, but part of me still feels uneasy. Part of me wants rest, part of me wants action.",mountain,15,5.0,2,2,afternoon,calm,happy_face,clear,mixed,3,0,0,0,2,2,False,False,True,False,False,1,0,3.0,0,0.9950248756218907,4,0,0,14.92537313432836,23,0,the mountain session made me calmer but part of me still feels uneasy part of me wants rest part of me wants action
22,The cafe session wasn't enough today; everything still feels heavy and too much. It's hard to know where to begin.,cafe,12,6.0,2,4,afternoon,focused,tired_face,conflicted,overwhelmed,4,0,0,1,2,1,True,False,False,False,False,5,1,2.0,0,1.9900497512437814,8,-2,0,5.985037406483791,20,0,the cafe session wasn t enough today everything still feels heavy and too much it s hard to know where to begin
23,"even after the forest track, i feel exhausted and emotionally overloaded i feel emotionally tired i almost wanted to stop midway",forest,18,5.5,2,4,morning,focused,tense_face,vague,overwhelmed,5,0,0,0,1,0,False,True,False,False,False,4,1,2.5,0,1.9900497512437814,8,-2,0,8.977556109725686,21,0,even after the forest track i feel exhausted and emotionally overloaded i feel emotionally tired i almost wanted to stop midway
24,"I liked the ocean session, but my mood is still split between calm and tension. It's like two moods are sitting together. I can't tell if I need rest or momentum. idk.",ocean,20,7.0,4,4,afternoon,focused,tense_face,clear,mixed,4,0,0,0,2,2,False,False,False,True,False,4,1,1.0,0,0.9975062344139651,16,0,1,19.950124688279303,32,0,i liked the ocean session but my mood is still split between calm and tension it s like two moods are sitting together i can t tell if i need rest or momentum idk
25,"Even after the mountain track, I feel exhausted and emotionally overloaded. I feel emotionally tired.",mountain,12,3.5,2,5,night,mixed,tense_face,vague,overwhelmed,4,0,0,0,4,0,False,False,True,False,False,4,2,4.5,1,2.4875621890547266,10,-3,0,4.790419161676647,15,0,even after the mountain track i feel exhausted and emotionally overloaded i feel emotionally tired
26,"The forest session was okay I don't feel much different, just a bit more aware Maybe I need more time to notice a difference",forest,10,7.5,3,3,night,overwhelmed,calm_face,clear,neutral,2,0,0,0,4,2,False,True,False,False,False,0,4,0.5,0,0.9966777408637875,9,0,0,9.966777408637874,24,0,the forest session was okay i don t feel much different just a bit more aware maybe i need more time to notice a difference
27,"I started scattered, but the cafe session helped me lock in on what matters. My to-do list feels less chaotic.",cafe,25,7.5,4,1,night,overwhelmed,neutral_face,clear,focused,4,0,0,0,4,2,True,False,False,False,False,2,4,0.5,0,0.24937655860349128,4,3,0,99.00990099009901,20,0,i started scattered but the cafe session helped me lock in on what matters my to do list feels less chaotic
28,The cafe ambience helped me breathe slower and let go of some pressure.,cafe,8,6.5,4,1,early_morning,neutral,none,clear,calm,3,0,0,0,0,2,True,False,False,False,False,3,3,1.5,0,0.24937655860349128,4,3,0,31.683168316831683,13,0,the cafe ambience helped me breathe slower and let go of some pressure
29,The mountain background made it easier to organize my thoughts and work plan.,mountain,25,7.5,5,2,night,restless,happy_face,clear,focused,4,0,0,0,4,2,False,False,True,False,False,1,5,0.5,0,0.3992015968063872,10,3,0,62.18905472636816,13,0,the mountain background made it easier to organize my thoughts and work plan
30,"I wasn't expecting much, but the rain session made me feel quiet inside My shoulders feel less tense",rain,25,6.0,4,2,early_morning,focused,neutral_face,clear,calm,2,0,0,0,0,2,False,False,False,False,True,2,1,2.0,0,0.49875311720698257,8,2,0,49.75124378109453,18,0,i wasn t expecting much but the rain session made me feel quiet inside my shoulders feel less tense
31,"I wanted the ocean to calm me, but today my stress feels bigger than the session. I almost wanted to stop midway.",ocean,18,6.0,2,5,afternoon,mixed,none,conflicted,overwhelmed,5,0,0,0,2,1,False,False,False,True,False,3,2,2.0,0,2.4875621890547266,10,-3,0,7.185628742514971,22,0,i wanted the ocean to calm me but today my stress feels bigger than the session i almost wanted to stop midway
32,"I wasn't expecting much, but the mountain session made me feel quiet inside. I think I can start gently today.",mountain,10,8.0,3,2,evening,neutral,calm_face,vague,calm,4,0,0,0,3,0,False,False,True,False,False,0,3,0.0,0,0.6644518272425249,6,1,0,14.92537313432836,20,0,i wasn t expecting much but the mountain session made me feel quiet inside i think i can start gently today
33,I feel mentally clear after the cafe session and ready to tackle one thing at a time.,cafe,25,7.0,4,2,morning,calm,neutral_face,clear,focused,2,0,0,0,1,2,True,False,False,False,False,2,0,1.0,0,0.49875311720698257,8,2,0,49.75124378109453,17,0,i feel mentally clear after the cafe session and ready to tackle one thing at a time
34,"The ocean session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",ocean,25,6.0,4,4,night,restless,neutral_face,clear,neutral,2,0,0,0,4,2,False,False,False,True,False,2,5,2.0,0,0.9975062344139651,16,0,1,24.93765586034913,19,0,the ocean session was okay i don t feel much different just a bit more aware nothing really clicked yet
35,The rain ambience helped me stop drifting and concentrate on my next steps. I should use this window well.,rain,15,6.0,4,1,early_morning,mixed,calm_face,vague,focused,3,0,0,1,0,0,False,False,False,False,True,0,2,2.0,0,0.24937655860349128,4,3,0,59.40594059405941,19,0,the rain ambience helped me stop drifting and concentrate on my next steps i should use this window well
36,"The forest session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",forest,12,6.5,4,3,afternoon,neutral,none,clear,neutral,2,0,0,0,2,2,False,True,False,False,False,3,3,1.5,0,0.7481296758104738,12,1,0,15.9468438538206,19,0,the forest session was okay i don t feel much different just a bit more aware nothing really clicked yet
37,I feel both comforted and distracted after the cafe ambience. It's like two moods are sitting together. I can't tell if I need rest or momentum.,cafe,25,5.0,2,5,evening,focused,neutral_face,vague,mixed,4,0,0,0,3,0,True,False,False,False,False,2,1,3.0,0,2.4875621890547266,10,-3,0,9.980039920159681,26,0,i feel both comforted and distracted after the cafe ambience it s like two moods are sitting together i can t tell if i need rest or momentum
38,"I wanted the mountain to calm me, but today my stress feels bigger than the session. I feel emotionally tired.",mountain,10,5.0,1,5,early_morning,unknown,none,conflicted,overwhelmed,5,0,1,0,0,1,False,False,True,False,False,3,6,3.0,0,4.9504950495049505,5,-4,0,1.9960079840319362,20,0,i wanted the mountain to calm me but today my stress feels bigger than the session i feel emotionally tired
39,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",cafe,20,7.0,4,1,evening,focused,calm_face,clear,calm,2,0,0,0,3,2,True,False,False,False,False,0,1,1.0,0,0.24937655860349128,4,3,0,79.20792079207921,17,0,i feel lighter after the cafe sounds like my mind finally softened my shoulders feel less tense
40,"The rain track was fine. I feel steady, not especially better or worse.",rain,20,7.5,3,2,afternoon,overwhelmed,neutral_face,clear,neutral,1,0,0,0,2,2,False,False,False,False,True,2,4,0.5,0,0.6644518272425249,6,1,0,29.85074626865672,13,0,the rain track was fine i feel steady not especially better or worse
41,"The rain ambience was pleasant, though I can't say it shifted my mood much. Maybe I need more time to notice a difference.",rain,8,7.5,3,2,morning,overwhelmed,calm_face,conflicted,neutral,2,0,0,0,1,1,False,False,False,False,True,0,4,0.5,0,0.6644518272425249,6,1,0,11.940298507462687,23,0,the rain ambience was pleasant though i can t say it shifted my mood much maybe i need more time to notice a difference
42,"I feel both comforted and distracted after the mountain ambience There is relief, but also some lingering pressure",mountain,15,5.5,3,3,early_morning,restless,neutral_face,conflicted,mixed,4,0,0,0,0,1,False,False,True,False,False,2,5,2.5,0,0.9966777408637875,9,0,0,14.950166112956811,18,0,i feel both comforted and distracted after the mountain ambience there is relief but also some lingering pressure
43,The mountain ambience helped me stop drifting and concentrate on my next steps. I should begin with the hardest task first.,mountain,8,7.0,3,2,evening,calm,none,vague,focused,2,0,0,0,3,0,False,False,True,False,False,3,0,1.0,0,0.6644518272425249,6,1,0,11.940298507462687,21,0,the mountain ambience helped me stop drifting and concentrate on my next steps i should begin with the hardest task first
44,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",mountain,18,4.5,4,5,early_morning,calm,neutral_face,conflicted,restless,3,0,0,0,0,1,False,False,True,False,False,2,0,3.5,1,1.2468827930174564,20,-1,1,14.371257485029941,19,0,i tried to relax during the mountain ambience yet my thoughts kept racing i keep wanting to switch tasks
45,"The cafe sounds were nice, but I still feel unsettled and fidgety. I keep wanting to switch tasks.",cafe,10,5.0,3,4,evening,mixed,happy_face,clear,restless,4,0,0,0,3,2,True,False,False,False,False,1,2,3.0,0,1.3289036544850499,12,-1,0,7.4812967581047385,18,0,the cafe sounds were nice but i still feel unsettled and fidgety i keep wanting to switch tasks
46,"The mountain track helped a little, though something still feels off underneath. There is relief, but also some lingering pressure.",mountain,20,7.0,4,2,morning,neutral,none,clear,mixed,2,0,0,0,1,2,False,False,True,False,False,3,3,1.0,0,0.49875311720698257,8,2,0,39.800995024875625,20,0,the mountain track helped a little though something still feels off underneath there is relief but also some lingering pressure
47,The cafe session slowed my thoughts and I feel more settled now. I think I can start gently today.,cafe,12,7.0,2,2,afternoon,focused,happy_face,clear,calm,4,0,0,0,2,2,True,False,False,False,False,1,1,1.0,0,0.9950248756218907,4,0,0,11.940298507462687,19,0,the cafe session slowed my thoughts and i feel more settled now i think i can start gently today
48,"I noticed the ocean sounds, but emotionally I still feel mostly the same. Maybe I need more time to notice a difference.",ocean,18,7.5,3,3,morning,neutral,none,clear,neutral,1,0,0,0,1,2,False,False,False,True,False,3,3,0.5,0,0.9966777408637875,9,0,0,17.940199335548176,22,0,i noticed the ocean sounds but emotionally i still feel mostly the same maybe i need more time to notice a difference
49,"i feel lighter after the ocean sounds, like my mind finally softened i think i can start gently today",ocean,25,7.5,4,1,morning,mixed,none,clear,calm,4,0,0,0,1,2,False,False,False,True,False,3,2,0.5,0,0.24937655860349128,4,3,0,99.00990099009901,19,0,i feel lighter after the ocean sounds like my mind finally softened i think i can start gently today
50,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",cafe,15,5.5,4,5,evening,focused,tense_face,clear,restless,4,0,0,0,3,2,True,False,False,False,False,4,1,2.5,0,1.2468827930174564,20,-1,1,11.976047904191617,20,0,even with the cafe session my mind kept jumping between tasks i still feel a low buzz in my body
51,Nothing strong came up during the forest session; I feel fairly normal At least I paused for a moment,forest,3,6.5,3,2,early_morning,mixed,none,clear,neutral,2,1,0,0,0,2,False,True,False,False,False,3,2,1.5,0,0.6644518272425249,6,1,0,4.477611940298508,19,0,nothing strong came up during the forest session i feel fairly normal at least i paused for a moment
52,"I liked the ocean session, but my mood is still split between calm and tension. Part of me wants rest, part of me wants action.",ocean,12,6.0,3,3,evening,restless,calm_face,conflicted,mixed,4,0,0,0,3,1,False,False,False,True,False,0,5,2.0,0,0.9966777408637875,9,0,0,11.960132890365449,25,0,i liked the ocean session but my mood is still split between calm and tension part of me wants rest part of me wants action
53,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",ocean,10,7.5,4,2,morning,unknown,neutral_face,conflicted,calm,4,0,1,0,1,1,False,False,False,True,False,2,6,0.5,0,0.49875311720698257,8,2,0,19.900497512437813,18,0,i feel lighter after the ocean sounds like my mind finally softened the pace of my breathing changed
54,The ocean session wasn't enough today; everything still feels heavy and too much.,ocean,25,4.5,2,4,night,focused,none,vague,overwhelmed,5,1,0,0,4,0,False,False,False,True,False,3,1,3.5,1,1.9900497512437814,8,-2,0,12.468827930174564,13,0,the ocean session wasn t enough today everything still feels heavy and too much
55,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",cafe,15,6.0,4,2,afternoon,overwhelmed,happy_face,vague,calm,4,0,0,0,2,0,True,False,False,False,False,1,4,2.0,0,0.49875311720698257,8,2,0,29.85074626865672,17,0,i feel lighter after the cafe sounds like my mind finally softened my shoulders feel less tense
56,After the forest track I feel peaceful and less pulled in every direction.,forest,20,6.5,4,2,afternoon,neutral,calm_face,clear,calm,3,0,0,0,2,2,False,True,False,False,False,0,3,1.5,0,0.49875311720698257,8,2,0,39.800995024875625,13,0,after the forest track i feel peaceful and less pulled in every direction
57,"I feel lighter after the rain sounds, like my mind finally softened.",rain,20,6.0,3,2,morning,neutral,none,clear,calm,3,0,0,0,1,2,False,False,False,False,True,3,3,2.0,0,0.6644518272425249,6,1,0,29.85074626865672,12,0,i feel lighter after the rain sounds like my mind finally softened
58,"The forest sounds were nice, but I still feel unsettled and fidgety.",forest,12,6.0,3,3,early_morning,overwhelmed,tired_face,clear,restless,5,0,0,0,0,2,False,True,False,False,False,5,4,2.0,0,0.9966777408637875,9,0,0,11.960132890365449,12,0,the forest sounds were nice but i still feel unsettled and fidgety
59,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7.0,3,3,afternoon,mixed,calm_face,clear,focused,3,0,0,0,2,2,False,False,True,False,False,0,2,1.0,0,0.9966777408637875,9,0,0,7.9734219269103,13,0,the mountain ambience helped me stop drifting and concentrate on my next steps
60,"The mountain ambience was pleasant, though I can't say it shifted my mood much. I can continue the day as usual.",mountain,25,7.0,3,3,morning,restless,happy_face,clear,neutral,3,0,0,0,1,2,False,False,True,False,False,1,5,1.0,0,0.9966777408637875,9,0,0,24.916943521594686,21,0,the mountain ambience was pleasant though i can t say it shifted my mood much i can continue the day as usual
61,"Even with the ocean session, my mind kept jumping between tasks.",ocean,12,5.0,3,4,night,neutral,neutral_face,conflicted,restless,3,0,0,0,4,1,False,False,False,True,False,2,3,3.0,0,1.3289036544850499,12,-1,0,8.977556109725686,11,0,even with the ocean session my mind kept jumping between tasks
62,"After the rain sounds I feel better than before, but not completely okay.",rain,15,5.5,3,4,early_morning,neutral,none,conflicted,mixed,4,0,0,0,0,1,False,False,False,False,True,3,3,2.5,0,1.3289036544850499,12,-1,0,11.221945137157109,13,0,after the rain sounds i feel better than before but not completely okay
63,The mountain session wasn't enough today; everything still feels heavy and too much. Even small tasks feel big right now.,mountain,18,4.5,1,5,evening,restless,none,clear,overwhelmed,5,0,0,0,3,2,False,False,True,False,False,3,5,3.5,1,4.9504950495049505,5,-4,0,3.5928143712574854,20,0,the mountain session wasn t enough today everything still feels heavy and too much even small tasks feel big right now
64,The ocean background made it easier to organize my thoughts and work plan. I can see my priorities more clearly.,ocean,20,6.0,4,1,early_morning,focused,happy_face,conflicted,focused,2,0,0,1,0,1,False,False,False,True,False,1,1,2.0,0,0.24937655860349128,4,3,0,79.20792079207921,20,0,the ocean background made it easier to organize my thoughts and work plan i can see my priorities more clearly
65,"after the mountain sounds i feel better than before, but not completely okay. it's like two moods are sitting together.",mountain,20,4.5,3,4,afternoon,unknown,neutral_face,vague,mixed,2,0,1,0,2,0,False,False,True,False,False,2,6,3.5,1,1.3289036544850499,12,-1,0,14.962593516209477,20,0,after the mountain sounds i feel better than before but not completely okay it s like two moods are sitting together
66,After the mountain track I feel peaceful and less pulled in every direction. My shoulders feel less tense.,mountain,12,8.0,2,2,early_morning,restless,neutral_face,clear,calm,4,0,0,0,0,2,False,False,True,False,False,2,5,0.0,0,0.9950248756218907,4,0,0,11.940298507462687,18,0,after the mountain track i feel peaceful and less pulled in every direction my shoulders feel less tense
67,"The cafe session helped a little, though I still feel pulled in too many directions.",cafe,20,5.0,4,5,morning,neutral,tense_face,clear,restless,4,0,0,0,1,2,True,False,False,False,False,4,3,3.0,0,1.2468827930174564,20,-1,1,15.96806387225549,15,0,the cafe session helped a little though i still feel pulled in too many directions
68,The cafe background made it easier to organize my thoughts and work plan.,cafe,18,6.0,3,3,early_morning,neutral,neutral_face,conflicted,focused,4,0,0,1,0,1,True,False,False,False,False,2,3,2.0,0,0.9966777408637875,9,0,0,17.940199335548176,13,0,the cafe background made it easier to organize my thoughts and work plan
69,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I almost wanted to stop midway.",cafe,3,4.5,2,5,night,restless,tired_face,clear,overwhelmed,5,0,0,0,4,2,True,False,False,False,False,5,5,3.5,1,2.4875621890547266,10,-3,0,1.1976047904191618,23,0,i sat through the cafe ambience but i still feel flooded by what i need to do i almost wanted to stop midway
70,"I feel lighter after the forest sounds, like my mind finally softened My shoulders feel less tense",forest,10,7.0,3,2,afternoon,neutral,neutral_face,clear,calm,3,0,0,0,2,2,False,True,False,False,False,2,3,1.0,0,0.6644518272425249,6,1,0,14.92537313432836,17,0,i feel lighter after the forest sounds like my mind finally softened my shoulders feel less tense
71,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I'm carrying too much in my head.",cafe,8,6.0,2,4,afternoon,neutral,tense_face,clear,overwhelmed,5,0,0,0,2,2,True,False,False,False,False,4,3,2.0,0,1.9900497512437814,8,-2,0,3.9900249376558605,24,0,i sat through the cafe ambience but i still feel flooded by what i need to do i m carrying too much in my head
72,"i sat through the mountain ambience, but i still feel flooded by what i need to do.",mountain,18,3.5,3,5,night,neutral,tense_face,clear,overwhelmed,4,0,0,0,4,2,False,False,True,False,False,4,3,4.5,1,1.6611295681063125,15,-2,0,10.778443113772456,17,0,i sat through the mountain ambience but i still feel flooded by what i need to do
73,"I noticed the ocean sounds, but emotionally I still feel mostly the same At least I paused for a moment",ocean,12,5.5,2,3,morning,calm,neutral_face,clear,neutral,1,0,0,0,1,2,False,False,False,True,False,2,0,2.5,0,1.492537313432836,6,-1,0,7.9734219269103,20,0,i noticed the ocean sounds but emotionally i still feel mostly the same at least i paused for a moment
74,Nothing strong came up during the forest session; I feel fairly normal I can continue the day as usual,forest,12,7.0,3,4,night,restless,neutral_face,clear,neutral,1,0,0,0,4,2,False,True,False,False,False,2,5,1.0,0,1.3289036544850499,12,-1,0,8.977556109725686,19,0,nothing strong came up during the forest session i feel fairly normal i can continue the day as usual
75,I couldn't really settle into the rain track; I kept thinking of everything at once. I keep wanting to switch tasks.,rain,20,4.5,4,3,evening,overwhelmed,tense_face,vague,restless,4,0,0,0,3,0,False,False,False,False,True,4,4,3.5,1,0.7481296758104738,12,1,0,26.578073089701,21,0,i couldn t really settle into the rain track i kept thinking of everything at once i keep wanting to switch tasks
76,"The cafe ambience was pleasant, though I can't say it shifted my mood much. At least I paused for a moment.",cafe,30,6.5,4,3,night,restless,neutral_face,conflicted,neutral,2,0,0,0,4,1,True,False,False,False,False,2,5,1.5,0,0.7481296758104738,12,1,0,39.8671096345515,21,0,the cafe ambience was pleasant though i can t say it shifted my mood much at least i paused for a moment
77,"After the forest sounds I feel better than before, but not completely okay. I can't tell if I need rest or momentum.",forest,18,4.5,2,2,evening,restless,calm_face,clear,mixed,3,0,0,0,3,2,False,True,False,False,False,0,5,3.5,1,0.9950248756218907,4,0,0,17.910447761194032,22,0,after the forest sounds i feel better than before but not completely okay i can t tell if i need rest or momentum
78,"After the cafe sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",cafe,8,6.5,3,3,evening,calm,tense_face,clear,mixed,3,0,0,0,3,2,True,False,False,False,False,4,0,1.5,0,0.9966777408637875,9,0,0,7.9734219269103,23,0,after the cafe sounds i feel better than before but not completely okay i feel better and not better at the same time
79,I feel both comforted and distracted after the mountain ambience. It's like two moods are sitting together.,mountain,12,6.0,4,2,morning,restless,neutral_face,vague,mixed,3,0,0,0,1,0,False,False,True,False,False,2,5,2.0,0,0.49875311720698257,8,2,0,23.880597014925375,17,0,i feel both comforted and distracted after the mountain ambience it s like two moods are sitting together
80,the cafe ambience helped me stop drifting and concentrate on my next steps. i should begin with the hardest task first.,cafe,25,5.5,5,2,night,mixed,none,conflicted,focused,3,0,0,0,4,1,True,False,False,False,False,3,2,2.5,0,0.3992015968063872,10,3,0,62.18905472636816,21,0,the cafe ambience helped me stop drifting and concentrate on my next steps i should begin with the hardest task first
81,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",mountain,12,6.0,3,2,morning,focused,neutral_face,clear,calm,3,0,0,1,1,2,False,False,True,False,False,2,1,2.0,0,0.6644518272425249,6,1,0,17.910447761194032,19,0,i feel lighter after the mountain sounds like my mind finally softened i think i can start gently today
82,"I came in distracted, but I left the rain session with a sharper mind. I should begin with the hardest task first.",rain,25,6.0,5,2,evening,calm,neutral_face,clear,focused,4,0,0,0,3,2,False,False,False,False,True,2,0,2.0,0,0.3992015968063872,10,3,0,62.18905472636816,22,0,i came in distracted but i left the rain session with a sharper mind i should begin with the hardest task first
83,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic.",ocean,15,7.5,3,2,afternoon,calm,neutral_face,clear,focused,4,0,0,0,2,2,False,False,False,True,False,2,0,0.5,0,0.6644518272425249,6,1,0,22.38805970149254,20,0,i started scattered but the ocean session helped me lock in on what matters my to do list feels less chaotic
